id,name,created_at,updated_at,deleted_at
2,Video,2025-03-13 01:41:01,2025-03-13 01:42:22,
3,Hadiah,2025-03-13 01:42:17,2025-03-13 01:42:17,
5,Lowongan Pekerjaan,2025-03-13 01:42:44,2025-03-13 01:42:44,
6,Undangan Pernikahan,2025-03-13 01:43:39,2025-03-13 01:43:39,
7,Akses,2025-03-13 01:43:54,2025-03-13 01:43:54,
8,Info,2025-03-13 01:44:25,2025-03-13 01:44:25,
9,Pembaharuan,2025-03-13 01:45:56,2025-03-13 01:45:56,
